has in the center,all_QIDs,URI has on the center
person,Q5,http://www.wikidata.org/entity/Q5
bicycle,Q11442,http://www.wikidata.org/entity/Q11442
car,Q1420,http://www.wikidata.org/entity/Q1420
motorcycle,Q34493,http://www.wikidata.org/entity/Q34493
airplane,Q197,http://www.wikidata.org/entity/Q197
bus,Q5638,http://www.wikidata.org/entity/Q5638
train,Q870,http://www.wikidata.org/entity/Q870
truck,Q43193,http://www.wikidata.org/entity/Q43193
boat,Q35872,http://www.wikidata.org/entity/Q35872
traffic,Q8004,http://www.wikidata.org/entity/Q8004
fire,Q634299,http://www.wikidata.org/entity/Q634299
stop,Q250429,http://www.wikidata.org/entity/Q250429
parking,Q953960,http://www.wikidata.org/entity/Q953960
bench,Q204776,http://www.wikidata.org/entity/Q204776
bird,Q5113,http://www.wikidata.org/entity/Q5113
cat,Q146,http://www.wikidata.org/entity/Q146
dog,Q144,http://www.wikidata.org/entity/Q144
horse,Q726,http://www.wikidata.org/entity/Q726
sheep,Q7368,http://www.wikidata.org/entity/Q7368
cow,Q830,http://www.wikidata.org/entity/Q830
elephant,Q7378,http://www.wikidata.org/entity/Q7378
bear,Q30090244,http://www.wikidata.org/entity/Q30090244
zebra,Q32789,http://www.wikidata.org/entity/Q32789
giraffe,Q862089,http://www.wikidata.org/entity/Q862089
backpack,Q5843,http://www.wikidata.org/entity/Q5843
umbrella,Q41607,http://www.wikidata.org/entity/Q41607
handbag,Q467505,http://www.wikidata.org/entity/Q467505
tie,Q44416,http://www.wikidata.org/entity/Q44416
suitcase,Q200814,http://www.wikidata.org/entity/Q200814
skis,Q172226,http://www.wikidata.org/entity/Q172226
sports,Q63347096,http://www.wikidata.org/entity/Q63347096
kite,Q42861,http://www.wikidata.org/entity/Q42861
skateboard,Q15783,http://www.wikidata.org/entity/Q15783
surfboard,Q457689,http://www.wikidata.org/entity/Q457689
tennis,Q847,http://www.wikidata.org/entity/Q847
bottle,Q80228,http://www.wikidata.org/entity/Q80228
wine,Q1531435,http://www.wikidata.org/entity/Q1531435
cup,Q81727,http://www.wikidata.org/entity/Q81727
fork,Q81881,http://www.wikidata.org/entity/Q81881
knife,Q32489,http://www.wikidata.org/entity/Q32489
spoon,Q81895,http://www.wikidata.org/entity/Q81895
bowl,Q153988,http://www.wikidata.org/entity/Q153988
banana,Q503,http://www.wikidata.org/entity/Q503
apple,Q89,http://www.wikidata.org/entity/Q89
sandwich,Q28803,http://www.wikidata.org/entity/Q28803
orange,Q13191,http://www.wikidata.org/entity/Q13191
carrot,Q81,http://www.wikidata.org/entity/Q81
pizza,Q177,http://www.wikidata.org/entity/Q177
cake,Q13276,http://www.wikidata.org/entity/Q13276
chair,Q15026,http://www.wikidata.org/entity/Q15026
sofa,Q131514,http://www.wikidata.org/entity/Q131514
potted,Q203834,http://www.wikidata.org/entity/Q203834
bed,Q42177,http://www.wikidata.org/entity/Q42177
dining,Q10578291,http://www.wikidata.org/entity/Q10578291
toilet,Q7857,http://www.wikidata.org/entity/Q7857
tv,Q289,http://www.wikidata.org/entity/Q289
laptop,Q3962,http://www.wikidata.org/entity/Q3962
mouse,Q7987,http://www.wikidata.org/entity/Q7987
remote,Q185091,http://www.wikidata.org/entity/Q185091
keyboard,Q250,http://www.wikidata.org/entity/Q250
cell,Q17517,http://www.wikidata.org/entity/Q17517
microwave,Q127956,http://www.wikidata.org/entity/Q127956
oven,Q36539,http://www.wikidata.org/entity/Q36539
sink,Q140565,http://www.wikidata.org/entity/Q140565
refrigerator,Q37828,http://www.wikidata.org/entity/Q37828
book,Q571,http://www.wikidata.org/entity/Q571
clock,Q376,http://www.wikidata.org/entity/Q376
vase,Q191851,http://www.wikidata.org/entity/Q191851
scissors,Q40847,http://www.wikidata.org/entity/Q40847
teddy,Q213477,http://www.wikidata.org/entity/Q213477
toothbrush,Q134205,http://www.wikidata.org/entity/Q134205
HouseMouse,Q83310,http://www.wikidata.org/entity/Q83310
couch,Q131514,http://www.wikidata.org/entity/Q131514
